BVP,EDA,HR,TEMP,Tin,Rhin,TSV
-0.27,3.3,81.72,35.58,26.1,34.7,1
0.02,3.73,80.12,35.91,26.1,35,1
0.89,4.04,83.05,35.91,26.1,35,1
-0.77,3.45,82.69,35.92,26.1,35,1
-0.05,3.96,81.03,35.94,26.2,35,1
-0.03,4.39,79.8,36.14,26.2,35,1
-0.09,4.43,83.76,36.06,26.2,35,1
-0.45,4.3,84.57,36.01,26.2,35.8,1
1.38,4.21,80.42,36.09,26.2,36.2,1
-0.64,4.32,73.4,36.22,26.2,35.3,1
-0.4,4.3,81.79,36.19,26.2,35.7,1
0.22,4.19,83.91,36.18,26.3,35.1,1
-0.25,3.83,80.85,36.33,26.3,35.1,1
0.16,4.6,86.9,36.36,26.3,34.9,1
-0.43,4.23,86.36,36.37,26.3,34.9,1
0.52,3.23,85.58,36.33,26.3,34.7,1
0.01,3.15,81.64,36.36,26.3,34.5,1
-0.01,2.75,83.38,36.39,26.3,34.6,1
0.57,3.16,83.84,36.4,26.3,34.4,1
-0.63,3.76,82.25,36.44,26.3,34.5,1
0.64,3.77,82.65,36.45,26.3,34.4,1
-0.77,4.08,85.74,36.46,26.4,34.5,1
0.1,3.39,84.04,36.37,26.4,34.3,1
-0.28,2.55,80.86,36.47,26.4,34.4,1
0.45,2.05,79.72,36.47,26.4,34.3,1
2.68,2.44,86.89,36.42,26.4,34.2,1
-2.79,2.7,77.36,36.32,26.4,34.2,1
-0.04,1.49,76.19,36.06,26.4,34.2,1
0.01,1.35,95.22,35.93,26.4,34.2,1
0.09,2.79,122.68,35.93,26.4,34.2,1
-0.11,3.74,119,35.96,26.4,34.2,1
0.58,3.35,86.62,35.88,26.4,34.2,1
-0.76,3.42,88.26,35.94,26.4,34.2,1
0.66,3.69,89.63,36.07,26.4,34.1,1
0.02,3.53,98.29,36,26.4,34.2,1
-0.9,3.01,95.87,35.85,26.4,34.4,1
1.49,3.2,81.38,35.77,26.4,34.3,1
-0.58,0.43,72.15,33.98,22.1,36.9,0
0.66,0.49,78.23,33.59,22.1,36.9,0
0.39,0.46,84.77,33.37,22.1,36.9,0
-0.54,0.33,77.72,33.36,22.6,21.3,0
0.08,0.22,76.28,33.2,22.7,22.4,0
-0.06,0.15,74.38,33.08,22.7,22.3,0
