BVP,EDA,HR,TEMP,Tin,Rhin,TSV
1.88,1.93,89.44,32.84,24.6,19,0
0.08,1.27,76.29,32.93,24.6,19.5,0
-0.43,2.03,79.16,32.95,24.6,18.6,0
7.52,1.54,77.26,32.96,24.7,19.6,0
-7.72,1.91,83.96,33.45,24.7,19.1,0
-0.21,1.96,83.69,33.53,24.7,17.7,0
0.85,1.54,76.57,33.5,24.6,17.8,0
-0.17,1.37,78.8,33.55,24.6,17.6,0
-0.03,1.25,81.1,33.51,24.6,18.2,0
0.07,1.34,83.19,33.5,24.6,18.4,0
0.31,1.26,82.48,33.53,24.6,19.1,0
-0.32,0.86,82.4,33.38,24.6,18.3,0
-1.51,1.14,85.64,33.44,24.6,18.6,0
1.61,0.97,83.73,33.36,24.6,18.7,0
-0.11,1.18,88.27,33.52,24.7,18.6,0
-0.03,1.37,87.86,33.68,24.7,18.6,0
0.17,1.31,70.94,33.88,24.7,18.7,0
-0.13,1.54,78.89,34.08,24.7,17.4,0
-0.12,1.52,77.01,34.28,24.7,18.4,0
0.95,1.6,88,34.54,24.7,18.7,0
-0.99,1.55,82.16,34.71,24.8,18.6,0
0.09,1.68,80.5,34.6,24.8,19.2,0
-0.02,1.69,82.45,34.57,24.8,18.9,0
-0.03,1.69,78.78,34.67,24.8,18.8,0
-0.21,1.68,80.09,34.81,24.8,18.8,0
0.01,1.94,79.64,35.04,24.8,18.8,0
0.24,1.77,80.92,35.14,24.8,17.4,0
0,1.52,84.93,35.14,24.8,18.5,0
0.16,1.6,88.6,35.14,24.8,18.3,0
-0.04,1.44,87.87,35.16,24.8,18.4,0
-0.13,1.56,88.32,35.26,24.7,16.8,0
0.04,1.67,88.01,35.33,24.7,18.4,0
0.1,1.65,87.96,35.35,24.7,18.1,0
1.65,1.56,88.62,35.42,24.7,18.4,0
-1.67,1.51,90.94,35.32,24.7,18.3,0
0.03,1.62,87.05,35.48,24.7,18.4,0
-0.06,1.73,86.65,35.62,24.7,18.4,0
-0.25,1.9,86.99,35.62,24.7,18.2,0
0.49,1.98,87.99,35.49,24.7,18.5,0
-2.07,1.73,91.21,35.44,24.7,18,0
1.41,1.55,89.65,35.6,24.6,18.4,0
0.44,1.57,86.75,35.78,24.6,17.7,0
-0.81,1.81,87.73,35.83,24.6,18.3,0
1.42,2.28,95.88,35.8,24.6,18.2,0
-0.81,2.44,120.26,35.7,24.6,17.9,0
-58.6,2.57,120.26,35.23,24.6,16.9,0
-0.24,1.38,75.01,34.5,24.6,18.2,0
0.21,1.7,85.71,34.42,24.6,18.2,0
0.05,1.58,99.02,34.41,24.6,18,0
0.04,1.45,85.74,34.45,24.6,17.5,0
-0.08,1.25,67.22,34.5,24.5,17.9,0
0,1.19,66.18,34.37,24.5,17.5,0
-0.07,1.15,82.81,34.2,24.5,16.8,0
0.25,1.14,67.88,34.06,24.5,17.1,0
-0.18,1.02,81.14,33.96,24.5,17.9,0
-0.29,1.03,88.12,33.68,24.5,17.8,0
0.3,1.22,75.36,33.29,24.4,18,0
0.16,1.2,78.8,32.65,24.4,18,0
-0.28,1.15,83.37,32.12,24.4,18.1,0
0.14,1.23,95.06,31.69,24.4,18,0
0.1,1.1,92.73,31.37,24.4,18,0
1.54,0.46,73.43,29.62,24.5,17.4,0
-2.28,0.65,88.01,29.23,24.5,17.8,0
0.06,0.89,110.1,29.12,24.4,18.2,0
0.55,1.32,94.43,29.28,24.3,18.2,0
0.11,1.53,74.95,29.84,24.2,18.4,0
-0.06,1.6,75.66,30.58,24.2,18.6,0
0,1.64,83.57,31.24,24.1,18.7,0
0.13,1.6,78.47,31.69,24.1,18.6,0
-0.47,1.8,73.72,31.91,24,17.9,0
0.46,1.95,70.32,32.16,24,18,0
0.48,2.05,74.57,32.43,24,18.6,0
-0.62,2.1,81.85,32.76,23.9,18.6,0
0.05,2.11,81.76,33.05,23.9,18.8,0
0.06,2.24,81.09,33.28,23.9,17.7,0
0.01,2.33,79.84,33.38,23.9,18.3,0
-0.02,2.35,83.04,33.42,23.9,18.8,0
-0.19,2.23,86.04,33.47,23.9,18.7,0
0.18,0.81,81.97,33.68,23.9,17.6,0
0.06,1.36,82.96,33.74,23.9,17.5,0
-0.05,1.44,87.44,33.86,23.8,18.6,0
0.01,1.81,83.82,34.15,23.8,18.6,0
-0.07,2.04,84.88,34.35,23.8,18.5,0
-0.02,2.26,86.74,34.41,23.8,18.3,0
0.13,2.47,88.05,34.58,23.9,18.7,0
0.01,2.59,87.38,34.74,24,18.5,0
-0.03,2.83,85.45,34.83,24.1,19.2,0
-0.03,2.94,83.3,34.99,24.2,18.2,0
-0.05,2.88,84.09,35.12,24.2,19.9,0
0.09,2.78,84.67,35.2,24.3,17.3,0
0.02,2.4,82.26,35.22,24.3,18.1,0
-0.03,2.26,84.76,35.25,24.3,16,0
0.04,2.39,85.4,35.22,24.3,16.4,0
-0.04,2.45,87.78,35.15,24.3,17.8,0
-0.06,2.51,87.2,35.1,24.3,17.8,0
0.1,2.56,87.03,35.14,24.3,18.1,0
-0.04,2.83,89.02,35.26,24.3,17.8,0
-0.18,3.03,85.85,35.38,24.4,18,0
