BVP,EDA,HR,TEMP,Tin,Rhin,TSV
0.2,1.76,84.83,34.77,24.3,34.3,-1
-0.18,1.79,82.17,34.78,24.3,34.4,-1
-0.28,1.78,86.75,34.8,24.3,34.4,-1
0.27,1.82,97.35,34.66,24.2,34.4,-1
0.02,1.8,99.33,34.64,24.2,34.6,-1
1.64,1.89,85.31,34.63,24.2,34.5,-1
-1.49,1.9,83.62,34.63,24.2,34.5,-1
-0.08,1.9,85.46,34.67,24.2,34.3,-1
-0.23,1.92,86.81,34.72,24.1,34.4,-1
0.21,1.92,86.59,34.76,24.1,34.3,-1
-0.43,1.89,79.07,34.83,24.1,34.3,-1
0.41,1.9,76.28,34.82,24,34.4,-1
-0.06,1.88,81.95,34.8,24,34.1,-1
0.05,1.9,83.85,34.77,24,34.3,-1
-0.23,1.84,86.06,34.68,24,34.1,-1
0.36,1.8,82.66,34.67,24,34.3,-1
0.28,1.78,95.28,34.68,23.9,34.1,-1
-0.57,1.77,100.51,34.67,23.9,34.1,-1
0.2,1.78,86.03,34.68,23.9,34,-1
0.01,1.05,87.3,34.51,23.9,34,-1
-0.1,0.91,91.4,34.49,23.8,34.1,-1
-0.11,0.9,82.86,34.44,23.8,34.1,-1
-0.21,0.79,81.42,34.41,23.8,34,-1
0.36,0.86,83.85,34.41,23.8,34,-1
0.05,0.84,88.06,34.38,23.7,34,-1
-0.1,0.93,88.28,34.38,23.7,34,-1
0.28,0.91,84.15,34.37,23.7,34.1,-1
0.21,0.91,80.18,34.34,23.7,34,-1
-0.18,5.6,73.81,35.38,29.3,40.5,1
0.16,7.97,79.14,35.22,29.4,40.3,1
0.09,8.85,101,35.28,29.4,40.3,1
-0.04,9.52,100.04,35.41,29.4,40.5,1
0,9.95,99.72,35.22,29.4,41.1,1
-1,10.17,101.53,35.14,29.4,41.4,1
0.68,9.39,112.75,35.24,29.4,41.6,1
0.49,8.83,108.8,35.36,29.4,41.8,1
-0.89,7.87,95.76,35.46,29.4,42.1,1
0.59,7,92.74,35.52,29.4,42.2,1
0.04,6.39,100.57,35.57,29.5,42.3,1
0,6.36,101.96,35.67,29.5,42.2,1
0.11,6.62,98.53,35.73,29.5,42.2,1
-0.17,8.87,102.56,35.71,29.5,43.7,0
0.24,9.82,105.83,35.77,29.7,41.8,0
-0.12,10.15,98.71,35.83,29.9,41.2,0
-0.09,9.81,101.67,35.87,29.9,41,0
0.1,9.88,104.37,35.86,30,41.1,0
-0.05,9.97,100.53,35.84,30,41.3,0
-0.01,9.95,101.34,35.81,30,41.2,0
0.07,9.9,98.38,35.78,30,40.8,0
0.16,9.93,99.84,35.78,29.9,40.4,0
-0.16,10.91,94.84,35.77,29.9,40.2,0
-0.12,11.12,102.01,35.81,29.9,39.8,0
0.01,11.61,102.44,35.87,29.9,39.6,0
0.15,11.81,103.94,35.88,29.8,39.4,0
-0.15,11.2,103.69,35.89,29.8,39.1,1
-0.49,11.3,102.83,35.9,29.8,38.9,1
0.6,10.77,100,35.92,29.8,38.9,1
-0.06,10.67,105.37,35.97,29.8,38.8,1
0.2,10.07,105.13,36,29.8,38.8,1
-0.07,9.39,104.8,36.04,29.7,38.6,1
-0.05,8.95,103.4,36.08,29.7,38.6,1
-0.56,8.95,102.76,36.11,29.7,38.6,1
0.44,9.68,107.49,36.15,29.7,38.5,1
-0.19,10.11,103.43,36.23,29.7,38.6,1
0.31,10.55,100.14,36.27,29.7,38.1,1
-0.04,11.49,102.46,36.32,29.4,38.2,1
0.02,11.17,98.41,36.34,29.3,39.3,1
0.07,10.71,101.23,36.33,29.2,39.3,1
0,10.17,101.22,36.35,29.2,39.3,1
-0.25,10.21,106.37,36.36,29.2,39.4,1
0.1,10.19,107.08,36.39,29.2,39.4,1
0.15,10.36,102.55,36.42,29.2,39.5,1
-0.23,9.95,103.9,36.45,29.2,39.5,1
0.25,9.87,103.94,36.45,29.2,39.5,1
0.01,10.08,101.56,36.48,29.2,39.5,1
0.09,9.49,102.08,36.51,29.2,39.7,1
-0.24,9.45,98.57,36.55,29.2,39.6,1
0.08,9.16,101.87,36.55,29.2,39.4,1
0.06,8.88,96.55,36.54,29.2,39.2,1
-0.14,8.52,101.73,36.56,29.2,39.2,1
0.12,8.17,100.38,36.57,29.2,39.2,1
-0.12,8.14,101.65,36.58,29.2,39.2,1
0.12,8.53,105.04,36.57,29.2,39.2,1
-0.05,10.07,104.84,36.53,29.2,39.2,1
-0.27,10.08,105.01,36.56,29.2,39.3,1
0.14,9.18,103.15,36.59,29.2,39,1
0.17,8.4,99.63,36.58,29.2,39.1,1
-0.07,8.38,100.14,36.55,29.2,38.9,1
-0.34,7.79,101.06,36.59,29.2,39,1
0.3,7.54,99.7,36.62,29.2,38.9,1
0.03,7.14,99.84,36.62,29.2,39,1
-0.05,6.8,99.96,36.63,29.2,39,1
-0.15,6.41,98.84,36.63,29.2,38.9,1
0.15,6.16,100.49,36.59,29.2,39,1
0.04,6.03,102.96,36.61,29.2,38.9,1
-0.26,5.79,99.45,36.64,29.2,39,1
0.25,5.6,96.02,36.64,29.2,39.1,1
-0.4,5.48,82.65,36.61,29.2,39,1
0.73,5.36,89.26,36.6,29.2,39,1
0.63,5.3,98.54,36.62,29.2,39.1,1
-0.85,6.38,89.92,36.6,29.2,39.3,1
-0.05,7.77,100.47,36.64,29.2,39.2,1
-0.45,8.38,98.63,36.66,29.2,39.1,1
0.39,8.28,98.29,36.7,29.1,39.3,1
0.11,7.34,102.72,36.72,29.1,39.3,1
-0.03,6.79,107.87,36.71,29,39.4,1
-0.35,6.72,102.95,36.75,29,39.4,1
-0.3,7.01,99.79,36.68,29,39.5,1
0.52,8.68,87.75,36.61,29,39.5,1
-0.01,4.56,95.64,36.15,28.9,39.5,1
-0.24,4.4,102.36,36.2,28.9,39.7,1
0.16,4.8,102.41,36.25,28.9,39.8,1
-0.02,4.71,100.74,36.27,28.9,39.7,1
0.14,4.45,96.38,36.27,28.9,39.8,1
0.72,4.38,97.79,36.25,28.9,39.8,1
-1.12,4.03,91.31,36.32,28.9,39.9,1
1.31,3.31,98.52,36.38,28.8,39.9,1
-1.04,2.68,98.26,36.41,28.8,40,1
0.22,2.14,96.03,36.42,28.8,40,1
-0.34,1.77,97.51,36.42,28.8,39.9,1
0.17,1.49,99.08,36.37,28.8,39.9,1
-0.07,1.29,99.39,36.35,28.8,40.1,1
0.02,1.09,100.19,36.31,28.8,40.2,1
0.2,0.96,99.73,36.31,28.8,40.1,1
0.07,0.94,101.33,36.23,28.7,40.1,1
-0.29,0.87,100.06,36.21,28.7,40.2,1
0.19,0.85,99.02,36.24,28.7,40.4,1
