Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.24,23.8,37,26.2,57.9,997.7,0.6,207.0,0.07,-2.4,-20.9,4.129
0.24,23.8,37,26.2,57.1,997.6,0.7,240.9,0.07,-2.4,-20.1,8.849
0.25,23.8,37,26.2,56.8,997.6,1.4,284.6,0.07,-2.4,-19.8,26.546
0.24,23.8,37,26.3,58.1,997.6,1.6,302.3,0.06,-2.5,-21.1,15.043
0.24,23.7,37,26.4,58.5,997.6,2.2,261.4,0.07,-2.7,-21.5,5.899
0.25,23.8,37,26.7,58.0,997.6,2.0,225.6,0.07,-2.9,-21.0,10.324000000000002
0.26,23.7,37,26.7,56.5,997.6,2.2,290.4,0.07,-3.0,-19.5,19.172
0.25,23.7,37,26.8,58.0,997.6,1.2,301.7,0.05,-3.1,-21.0,4.4239999999999995
0.24,23.9,37,26.8,57.3,997.6,0.9,335.9,0.04,-2.9,-20.3,13.863
0.23,23.9,37,26.7,56.4,997.6,1.3,273.4,0.04,-2.8,-19.4,7.9639999999999995
0.24,23.9,37,26.7,57.1,997.6,3.5,264.6,0.07,-2.8,-20.1,6.489
0.24,23.9,37,26.8,58.2,997.6,2.5,264.9,0.06,-2.9,-21.2,3.8339999999999996
0.23,23.9,37,26.9,57.9,997.6,3.3,274.7,0.07,-3.0,-20.9,6.784
0.25,23.8,37,26.9,57.5,997.6,3.5,270.1,0.07,-3.1,-20.5,5.899
0.23,23.8,37,27.0,57.4,997.6,3.1,269.6,0.07,-3.2,-20.4,16.813
0.24,23.8,37,27.1,57.2,997.6,2.8,257.5,0.07,-3.3,-20.2,4.129
0.24,23.8,37,27.2,56.1,997.6,3.1,269.2,0.07,-3.4,-19.1,10.029
0.24,23.7,37,27.1,55.1,997.6,2.1,270.4,0.07,-3.4,-18.1,5.013999999999999
0.25,23.9,37,27.1,55.7,997.6,0.9,292.1,0.07,-3.2,-18.7,24.776999999999997
0.23,23.9,37,27.0,56.0,997.6,2.1,270.3,0.06,-3.1,-19.0,2.36
0.23,23.9,37,27.1,56.3,997.6,2.3,271.2,0.07,-3.2,-19.3,10.324000000000002
0.23,23.9,37,27.1,55.5,997.6,2.1,266.5,0.06,-3.2,-18.5,4.4239999999999995
0.23,23.9,37,27.1,55.5,997.5,2.0,271.3,0.07,-3.2,-18.5,7.079
0.23,23.9,37,27.1,54.9,997.5,2.1,258.1,0.06,-3.2,-17.9,1.475
0.25,23.9,37,27.1,54.5,997.5,1.2,275.9,0.07,-3.2,-17.5,5.899
0.22,23.9,37,27.1,55.5,997.5,2.3,274.6,0.06,-3.2,-18.5,1.77
0.23,23.9,37,27.2,55.8,997.5,1.7,292.8,0.07,-3.3,-18.8,10.619000000000002
0.23,23.8,37,27.2,54.6,997.5,1.8,302.8,0.07,-3.4,-17.6,10.029
0.22,23.8,37,27.2,54.4,997.4,2.3,287.6,0.06,-3.4,-17.4,7.669
0.23,23.8,37,27.2,54.5,997.4,0.9,323.2,0.07,-3.4,-17.5,9.144
0.22,23.8,37,27.2,54.7,997.4,1.3,303.1,0.06,-3.4,-17.7,7.9639999999999995
0.22,23.7,37,27.1,55.4,997.4,0.5,102.1,0.07,-3.4,-18.4,1.77
